?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHMO_0001610>	"The process of transferring a substance from any matrix to a liquid phase using a supercritical fluid."	
<http://purl.obolibrary.org/obo/CHMO_0002888>	"Microextraction using an antibody where the specificity is related to the specificity of the antibody to the compound of interest."	
<http://purl.obolibrary.org/obo/CHMO_0001907>	"Spectroscopy where the sample absorbs radiation from the infrared region (0.78–1000 μm). Spectra are collected at a rate of approx. 0.05 s per spectrum."	
<http://purl.obolibrary.org/obo/CHMO_0001530>	"A type of dissection where a laser is coupled to a microscope and focused onto a biological sample (e.g. tissue) on the slide."	
<http://purl.obolibrary.org/obo/CHMO_0000990>	"A piece of apparatus that is planar and is or hosts the stationary bed in chromatography."	
<http://purl.obolibrary.org/obo/CHMO_0000203>	"A method for determining structure by measuring the energy loss of X-rays scattered by a sample as a function of emission angle, where the incident X-ray energy is chosen to coincide with an electronic transition in the sample."	
<http://purl.obolibrary.org/obo/CHMO_0002929>	"An electrochemical cell where the anode and cathode are placed in different vessels requiring the use of a salt bridge, frit or membrane to complete the circuit."	
<http://purl.obolibrary.org/obo/CHMO_0000085>	"Microscopy where an electron-transparent specimen is bombarded with a finely focused (<10 nm diameter) electron beam with an acceleration voltage 700–3000 kV under vacuum and the intensities of the transmitted electrons are measured."	
<http://purl.obolibrary.org/obo/CHMO_0002451>	"Column chromatography where the mobile phase is a liquid held at or near its critical point. Liquid chromatography at the critical condition is used to determine functionality distributions in polymers."	
<http://purl.obolibrary.org/obo/CHMO_0002104>	"Spectroscopy where three incident terahertz laser beams are mixed."	
<http://purl.obolibrary.org/obo/CHMO_0002354>	"The measurement of pH, the negative logarithm to base ten of the hydrogen ion activity in a solution. Operationally the pH of a solution X, pH(X), is measured relative to that of a standard reference solution, pH(S), and defined as pH(X) = pH(S) - (E(X) - E(S))/(RT/F)ln 10, where E(X) and E(S) are the electromotive forces measured in cells containing the solution X and the reference solution respectively."	
<http://purl.obolibrary.org/obo/CHMO_0000174>	"A method for determining structure by measuring the change in direction or energy of Rayleigh scattered visible light, where the wavelength of the incident light corresponds to an absorption band in the scattering molecules."	
<http://purl.obolibrary.org/obo/CHMO_0001004>	"Column chromatography where the mobile phase is a liquid."	
<http://purl.obolibrary.org/obo/CHMO_0000768>	"Microscopy where the specimen is stained with heavy metals salts (to improve contrast) before being bombarded with a finely focused (<10 nm diameter) electron beam with an acceleration voltage 50–150 kV under vacuum. The interaction of the electrons with the specimen produces transmitted, secondary, backscattered and diffracted electrons and characteristic X-rays which are detected."	
<http://purl.obolibrary.org/obo/CHMO_0002580>	"A test which produces colour change in the sample."	
<http://purl.obolibrary.org/obo/CHMO_0001921>	"A plot of fluorescence anisotropy (the difference in polarisation between incident and fluorescent light) vs. time."	
<http://purl.obolibrary.org/obo/CHMO_0000669>	"Spectroscopy where the Raman scattering of monochromatic light, usually from a laser in the visible, near infrared, or near ultraviolet range, by a sample is detected. The energy of the incoming laser is adjusted such that it or the scattered light coincides with an electronic transition within the sample, and the laser is combined with a Kerr gate fluorescence rejection system."	
<http://purl.obolibrary.org/obo/CHMO_0000244>	"A type of atomic absorption spectrometry where sample is forced through a heated metal capillary tip before atomisation in a flame."	
<http://purl.obolibrary.org/obo/CHMO_0000800>	"A plot of a measured quantity against some experimental parameter."	
<http://purl.obolibrary.org/obo/CHMO_0000417>	"Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample is detected."	"FIX:0000050"
<http://purl.obolibrary.org/obo/CHMO_0002489>	"An NMR experiment in which pulsed field gradients are applied to a spin echo sequence to cleanly and precisely excite particular 13C nuclei resonances. Additionally, attenuation of signals occurs related to molecular diffusion allowing this technique to be used to determine self-diffusion coefficients."	
<http://purl.obolibrary.org/obo/CHMO_0002439>	"A solution, containing CaCl2, MgSO4, KCl, NaHCO3, NaCl, NaH2PO4 and phenol red, that resists changes to its pH."	
<http://purl.obolibrary.org/obo/CHMO_0001617>	"A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die at a temperature that is above room temperature, but below the recrystallisation temperature of the material (400–900 °C)."	
<http://purl.obolibrary.org/obo/CHMO_0002101>	"Spectroscopy where three femtosecond pulse incident laser beams are mixed, two 'pump' beams of the same frequency and one 'probe' beam of a different frequency."	
<http://purl.obolibrary.org/obo/CHMO_0002090>	"The measurement of thermodynamic parameters (e.g. enthalpy) during a chemical or biochemical reaction. The temperature and pressure is measured whilst the sample volume is slightly perturbed by the extension of piezoelectric crystals."	
<http://purl.obolibrary.org/obo/CHMO_0000933>	"A nuclear magnetic resonance spectrum where the where the nuclei of interest are carbon-13 nuclei, the signals from which are enhanced by the transfer of magnetisation from 1H nuclei."	
<http://purl.obolibrary.org/obo/CHMO_0002538>	"A method where a sample mixture is first separated by gas chromatography before part of the sample is ionised in a plasma (a partially ionised gas–-such as Ar–-containing free electrons) which has been generated by electromagnetic induction, and characterised according to mass-to-charge ratio and relative abundance. Another part of the sample is simultaneously ionised by electrons (energy 70 eV) which have been emitted from a glowing filament and accelerated through an electric field. The ions are then characterised according to mass-to-charge ratio and relative abundance."	
<http://purl.obolibrary.org/obo/CHMO_0001944>	"A type of three-dimensional NMR experiment in which the signals of a 2D NMR experiment are dispersed along a third frequency axis according to diffusion coefficient."	
<http://purl.obolibrary.org/obo/CHMO_0001764>	"A buffer solution where the pH is maintained by a N-tris(hydroxymethyl)methylglycine–N-tris(hydroxymethyl)methylammonioacetate equilibrium."	
<http://purl.obolibrary.org/obo/CHMO_0000352>	"Spectroscopy where the bombardment of a sample with high-energy photons results in the ionisation of core electrons and the emission of so-called 'Auger' electrons. The energies of these Auger electrons are detected as a function of emission angle and a magnet is used to align all electron spins parallel to the emitting surface."	
<http://purl.obolibrary.org/obo/CHMO_0002644>	"A polymer preparation technique in which an insoluble polymer is dispersed in a continuous organic phase."	
<http://purl.obolibrary.org/obo/CHMO_0002804>	"An experimental method output originating from the matrix, reagents and any residual bias in the measurement device or process, which contributes to the value obtained for the quantity in the analytical procedure."	
<http://purl.obolibrary.org/obo/CHMO_0001845>	"An NMR pulse sequence, employing composite pulses, which decouples nuclei i.e. removes the effects of (usually) J-coupling (line splitting) from the spectrum."	
<http://purl.obolibrary.org/obo/CHMO_0001903>	"A technique where a solid sample is dissolved in a supercritical fluid and this mixture is then expanded using a restrictor, causing the solid to precipitate."	
<http://purl.obolibrary.org/obo/CHMO_0001797>	"Spectroscopy where the energy states of 1H nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Spectra are obtained by scanning a range of radio frequencies."	
<http://purl.obolibrary.org/obo/CHMO_0001603>	"The process of transferring a dissolved substance from one liquid phase to another (immiscible or partially miscible) liquid phase in contact with it. A microdrop of organic solvent (8 μL), is suspended from the end of Teflon rod immersed in a stirred aqueous solution of the sample. The sample solution is stirred until equilibrium is reached, after which, the drop is retracted into the Teflon rod."	
<http://purl.obolibrary.org/obo/CHMO_0001739>	"A gas chromatography method that is sensitive to compounds containing NO and NO2 groups. The eluent is pyrolysed (at 275 deg C) producing radicals, which react with ozone under low pressure to produce chemiluminescence."	
<http://purl.obolibrary.org/obo/CHMO_0001332>	"A synthesis method in which a film of solid metal is deposited from a solution of ions onto an electrically conducting surface (an electrode). Three electrodes are required (working, counter and reference) and when sufficient current is passed through the solution, accompanied by irradiation with UV light, metal ions are reduced at the working electrode."	
<http://purl.obolibrary.org/obo/CHMO_0001704>	"The fusing together of small particles by heating the powder sample below its melting point (without applied pressure) until its particles adhere to each other."	
<http://purl.obolibrary.org/obo/CHMO_0001466>	"The conversion of a vaporized sample into atomic components."	
<http://purl.obolibrary.org/obo/CHMO_0001222>	"A double resonance technique in which transitions between spin sublevels are detected by phosphorescence. Usually these are sublevels of a triplet and the transitions are induced by microwaves."	
<http://purl.obolibrary.org/obo/CHMO_0000257>	"A type of atomic emission spectrometry where a laser pulse is used as the excitation source."	
<http://purl.obolibrary.org/obo/CHMO_0000449>	"A type of laser spectroscopy where the sample is placed inside a highly reflective laser cavity and an effect induced by the absorption of a supercontinuum light source is detected. The light source is tuned to match the frequency of the cavity bandwidth."	
<http://purl.obolibrary.org/obo/CHMO_0000748>	"Spectroscopy where a microwave frequency pulse is used to saturate the electron resonance transitions in a sample, and a radio frequency pulse is used excite a nuclear transition."	
<http://purl.obolibrary.org/obo/CHMO_0000487>	"Mass spectrometry where the sample is ionised by forcing a solution (usually in an organic solvent) of the sample through a small heated capillary (at a flow rate of 1 L min-1) into an electric field to produce a very fine mist of charged droplets."	
<http://purl.obolibrary.org/obo/IAO_8000015>	"An ontology module that is automatically generated from a template specification and fillers for slots in that template."@en	
<http://purl.obolibrary.org/obo/CHMO_0002242>	"A plot of heat release (W/m2) vs. time obtained during a calorimetry experiment."	
<http://purl.obolibrary.org/obo/CHMO_0002186>	"Spectroscopy where the sample is irradiated with an initial pulse of polarised laser light (the 'pump') and the change in polarisation of a second laser pulse (the 'probe') is determined."	
<http://purl.obolibrary.org/obo/CHMO_0000739>	"Spectroscopy where the energy states of 31P nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	
<http://purl.obolibrary.org/obo/CHMO_0002228>	"The measurement of thermodynamic parameters such as heat release rate, heat of combustion, ignitability, and the evolution of toxic gases, smoke and soot, for flame retarding materials using a cone calorimeter."	
<http://purl.obolibrary.org/obo/CHEBI_33697>	"High molecular weight, linear polymers, composed of nucleotides containing ribose and linked by phosphodiester bonds; RNA is central to the synthesis of proteins."	
<http://purl.obolibrary.org/obo/CHMO_0000663>	"Spectroscopy where the Raman scattering of monochromatic light is detected. An aperture is used to discriminate between Raman signal coming from the focused laser spot and Raman signal coming from the out-of-focus region of the sample."	
<http://purl.obolibrary.org/obo/CHMO_0000736>	"Mass spectrometry where the sample is ionised by forcing a solution (usually in an organic solvent) of the sample through a small heated capillary (at a flow rate of 1–10 L min-1) into an electric field to produce a very fine mist of charged droplets and where sample ions with different masses are accelerated to the same (known) kinetic energy and the time taken for each ion to reach a detector at a known distance is measured. This time is dependent on the mass-to-charge ratio of the ion."	
<http://purl.obolibrary.org/obo/CHMO_0002344>	"An electrically-conducting piece of apparatus that exchanges electrons with an electrolyte as part of an electrical circuit."	
<http://purl.obolibrary.org/obo/CHMO_0001542>	"A method of separating mixtures based on differences in their volatilities in a boiling liquid mixture. The components in a high-boiling-point sample mixture are vaporised by the application of heat at low pressure (< 0.01 Torr) and then cooled by the action of cold water in a condenser."	
<http://purl.obolibrary.org/obo/CHMO_0000298>	"Spectroscopy where the sample is bombarded with X-rays and the X-ray absorption coefficient of the sample is measured. When the incident X-ray energy matches the binding energy of an electron in an atom there is a decrease in the intensity of transmitted X-rays resulting in an absorption edge."	
<http://purl.obolibrary.org/obo/CHMO_0000504>	"Mass spectrometry where the mass-to-charge ratio of the sample ions is measured whilst the ions are held in a stable orbit by an electric field generated by four parallel electrodes."	
<http://purl.obolibrary.org/obo/CHMO_0002414>	"Any method that measures the amount of light that a substance scatters at certain wavelengths, incident angles, and polarization angles."	
<http://purl.obolibrary.org/obo/CHEBI_52230>	"The stable isotope of tin with relative atomic mass 118.903311, 8.59 atom percent natural abundance and nuclear spin <small><sup>1</small></sup>/<small><sub>2</sub></small>."	
<http://purl.obolibrary.org/obo/CHMO_0002467>	"The component of a system to be analysed."	
<http://purl.obolibrary.org/obo/CHMO_0001256>	"The detection of short bursts of light emitted from a liquid sample excited by sound."	
<http://purl.obolibrary.org/obo/CHMO_0001938>	"A fragmentation method where the sample is ionised, and selected ions are allowed to collide with neutral gas molecules, resulting in fragmentation."	
<http://purl.obolibrary.org/obo/OBI_0003540>	"A mass spectrometry assay that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules)."@en	
<http://purl.obolibrary.org/obo/CHMO_0001824>	"A magnified image obtained using a microscope to view a small object (or specimen)."	
<http://purl.obolibrary.org/obo/CHMO_0000026>	"An electrochemical technique where the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The potential is varied linearly and inverts at the end point resulting in a cycle which repeats approximately every 100 ms."	
<http://purl.obolibrary.org/obo/CHMO_0002852>	"A material processing step that involves taking a test material with an adequately low background level of the intended analyte and mixing it with a known amount of analyte."	
<http://purl.obolibrary.org/obo/CHMO_0002088>	"A separation method where particles move at different speeds according to their thermal conductivity in a separation medium, across which a thermal gradient (produced by laser irradiation) is applied."	
<http://purl.obolibrary.org/obo/CHMO_0000917>	"The study of the temperature dependence of the relationship between deformation and stress for fluids which cannot be defined by a single value of viscosity."	
<http://purl.obolibrary.org/obo/CHMO_0000988>	"An open chromatographic bed that consists of a sheet of paper, often filter paper."	
<http://purl.obolibrary.org/obo/OBI_0001034>	"An environmental control device is a device which has the function to control some aspect of the environment such as temperature, or humidity."@en	
<http://purl.obolibrary.org/obo/CHMO_0001798>	"Spectroscopy where the absorption and reflection of low-incident-angle infrared light by the surface molecules of a highly reflective or polished sample is measured. The  sample absorbs a single pulse of radiation and the spectrum obtained is subject to a Fourier transform."	
<http://purl.obolibrary.org/obo/CHMO_0001238>	"A two-dimensional NMR experiment which shows correlations between all the nuclei of a spin system and also allows determination of T1 relaxation rates."	
<http://purl.obolibrary.org/obo/CHMO_0002716>	"A magic angle spinning NMR experiment in which the evolution of dipolar couplings between 31P and 15N nuclei is controlled by applying pulses at appropriate points in the rotational period, allowing the determination of the size of the coupling and, thus, yielding distance information."	
<http://purl.obolibrary.org/obo/CHMO_0000995>	"A fluid that percolates through or along the stationary bed in chromatography."	
<http://purl.obolibrary.org/obo/CHMO_0000200>	"A method for determining structure by measuring the change in direction or energy of X-rays scattered by a sample."	
<http://purl.obolibrary.org/obo/CHMO_0000862>	"A method for determining structure by directing a parallel beam of X-rays at the sample and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate."	
<http://purl.obolibrary.org/obo/CHMO_0001683>	"The melting of a material within a frozen shell of the same substance. This technique is used for materials which are very corrosive when molten e.g. cubic zirconia."	
<http://purl.obolibrary.org/obo/CHMO_0002397>	"Spectroscopy where the response of nuclei with non-zero spin, in a sample dissolved in a deuterated solvent, to a perturbing magnetic field is detected. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	"FIX:0000470"
<http://purl.obolibrary.org/obo/CHMO_0000852>	"Data which is obtained from an X-ray diffraction experiment where the specimen is a single crystal."	
<http://purl.obolibrary.org/obo/CHMO_0001556>	"The removal of solvent from a sample without passing through the liquid–gas boundary, by immersion in a supercritical fluid and de-pressurisation."	
<http://purl.obolibrary.org/obo/CHMO_0001365>	"Sputter deposition where the substrate is held in a barrel which is swung from side-to-side to ensure even deposition."	
<http://purl.obolibrary.org/obo/CHMO_0002735>	"A type of homonuclear three-dimensional NMR experiment in which a second frequency dimension is employed to disperse the signals and reveal correlations between nuclei which are J-coupled (usually \\leq 3 bonds apart). These signals are then correlated to nuclei that are spatially proximate within the molecule (\\leq 6 \\AA apart)."	
<http://purl.obolibrary.org/obo/CHMO_0001887>	"A technique used in solid-state NMR experiments to achieve the controlled reintroduction of dipolar couplings by varying the angle at which the sample is spun relative to the applied magnetic field."	
<http://purl.obolibrary.org/obo/CHMO_0001559>	"The process of removing a thin layer of a sample surface by sputtering or dissolving using reactive ions or a vapour-phase etchant"	
<http://purl.obolibrary.org/obo/CHMO_0001403>	"A synthesis technique that uses electrons to transfer a pattern to a substrate. The substrate is coated with a film (or 'resist) and a beam of moderately low energy electrons (2 keV) is scanned across a patterned mask (held up to 50 μm from the substrate surface). The electrons induce chemical reactions in the resist and the desired pattern is obtained by selectively removing either exposed or non-exposed regions of the resist ('developing')."	
<http://purl.obolibrary.org/obo/CHMO_0001262>	"Any method where a sample mixture is first separated by column chromatography where the mobile phase is a gas, then the absorption of radiation from the infrared region by the sample is measured."	
<http://purl.obolibrary.org/obo/CHMO_0001910>	"Data obtained from a structure determination method."	
<http://purl.obolibrary.org/obo/CHMO_0001299>	"A plot of the resonance frequency of nuclei in the same magnetic environment on a scale relative to their resonance frequency and with intensities proportional to the populations of nuclei in those environments for solid samples."	
<http://purl.obolibrary.org/obo/CHMO_0002520>	"Microscopy where the specimen can be made to fluoresce (emit energy as visible light) by scanning a solid-state (Ti sapphire) laser spot of specific wavelength over its surface to produce single-photon fluorescence."	
<http://purl.obolibrary.org/obo/GO_0042571>	"An immunoglobulin complex that is secreted into extracellular space and found in mucosal areas or other tissues or circulating in the blood or lymph. In its canonical form, a circulating immunoglobulin complex is composed of two identical heavy chains and two identical light chains, held together by disulfide bonds. Some forms of are polymers of the basic structure and contain additional components such as J-chain and the secretory component."	
<http://purl.obolibrary.org/obo/CHMO_0001446>	"Any process in which the molecular structure of a hydrocarbon is rearranged to alter its properties (e.g. its combustion characteristics) in the presence of a catalyst and under a high pressure of H2 gas."	
<http://purl.obolibrary.org/obo/CHMO_0000080>	"Electron microscopy where the intensities of the electrons through an electron-transparent specimen are measured."	
<http://purl.obolibrary.org/obo/CHMO_0001808>	"A plot of the change in intensity of absorption vs. the change in frequency as a function of the frequency of radiation applied, for spin-active nuclei."	
<http://purl.obolibrary.org/obo/CHMO_0000342>	"Spectroscopy where bombardment of a sample with high-energy photons results in the ionisation of core electrons and the emission of so-called 'Auger' electrons. The wavelength of the incident photons is scanned over an absorption edge in the sample and the Auger electrons emitted are detected as a function of emission angle."	
<http://purl.obolibrary.org/obo/CHMO_0000194>	"A method for determining structure by measuring the change in direction or energy of scattered neutrons and the time since the indicent pulse ('time-of-flight') for each neutron. Neutrons are scattered by the atomic nuclei in the sample, and suffer a loss of kinetic energy during collisions."	
<http://purl.obolibrary.org/obo/CHMO_0002838>	"A material processing process that is intended to produce nanostructures."	
<http://purl.obolibrary.org/obo/CHMO_0001108>	"Mass spectrometry where the sample is ionised to positive ions by forcing a solution (usually in an organic solvent) of the sample through a small heated capillary (at a flow rate of 1–10 L min-1) into an electric field to produce a very fine mist of charged droplets, and where sample ions with different masses are accelerated to the same (known) kinetic energy and the time taken for each ion to reach a detector at a known distance is measured. This time is dependent on the mass-to-charge ratio of the ion."	
<http://purl.obolibrary.org/obo/CHMO_0001391>	"Any synthesis technique involving the transfer of a nanosized pattern to a material."	
<http://purl.obolibrary.org/obo/CHMO_0002760>	"Extraction of plant metabolites using a 1:3:1 v/v mixture of water, methanol and chloroform."	
<http://purl.obolibrary.org/obo/CHMO_0001574>	"The physical process by which a liquid substance is converted to a gas or vapour. This may occur at or below the normal boiling point of the liquid (the temperature at which a liquid boils at 1 atmosphere pressure) and the process is endothermic."	
<http://purl.obolibrary.org/obo/CHMO_0001514>	"The chemical degradation of a sample by thermal energy in the presence of an reductive atmosphere."	
<http://purl.obolibrary.org/obo/CHMO_0001777>	"A method for determining the extent of intrinsic and process-induced defects in the  crystalline layers within  semiconductor devices. Defects arising from impurities, grain boundaries, interfaces, etc. result in the creation of traps that capture free electrons and holes. By monitoring the current produced by applying an optical pulse to the semiconductor junction at different temperatures, spectra are generated which exhibit peaks, the height of which are proportional to the defect density, and the emission rate and temperature dependence are characteristic for each type of defect."	
<http://purl.obolibrary.org/obo/OBI_0000947>	"is a role which inheres in a person or organization and is realized in in a planned process which provides access to training, materials or execution of protocols for an organization or person"@en	
<http://purl.obolibrary.org/obo/CHMO_0000920>	"A two-dimensional solid-state NMR experiment which correlates the chemical shift anisotropy of a nucleus with its isotropic chemical shift by performing a series of experiments each at a different spinning angle relative to the magnetic field."	
<http://purl.obolibrary.org/obo/CHMO_0002382>	"A type of homonuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between nuclei which are J-coupled (usually <=3 bonds apart). The response is edited by selecting only two-spin coupled systems, usually achieved by appropriate cycling of the phase (direction of application) of the pulses in the experiment."	
<http://purl.obolibrary.org/obo/CHEBI_36928>		"cas:14762-74-4"
<http://purl.obolibrary.org/obo/CHMO_0001535>	"A method of separating two components of very similar boiling point from a mixture. A third, miscible and high-boiling-point solvent is added to the mixture which causes a change in the volatilities of the components. These components are then vaporised by the application of heat and cooled by the action of cold water in a condenser."	
<http://purl.obolibrary.org/obo/CHMO_0001281>	"A method where a sample mixture is first separated by high-performance liquid chromatography (flow rate nL min-1) before being ionised in a plasma (a partially ionised gas–-such as Ar–-containing free electrons) which has been generated by electromagnetic induction, and characterised by mass-to-charge ratio and relative abundance."	
<http://purl.obolibrary.org/obo/CHMO_0002778>	"An X-ray source where copper atoms emit X-rays through a 1s from 2p transition."	
<http://purl.obolibrary.org/obo/CHMO_0000462>	"Spectroscopy where a sample is illuminated with a laser and photoexcitation is used to promote an atom or molecule above its ionisation potential to create an ion."	
<http://purl.obolibrary.org/obo/CHMO_0001896>	"Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen. The tip oscillates, intermittently touching or tapping the surface. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the force experienced by the tip as a function of position. A feedback loop is used to maintain a fixed relationship between the tip and surface during scanning."	
<http://purl.obolibrary.org/obo/CHMO_0001363>	"A synthesis technique where a high-power pulsed laser beam is focused (inside a vacuum chamber) onto a target of the desired composition. Material is then vaporized from the target ('ablation') and deposited as a thin film on a substrate facing the target."	
<http://purl.obolibrary.org/obo/CHMO_0000023>	"An *obsolete* electrochemical technique where the potential difference between the indicator and reference electrodes is measured using an oscillograph under conditions where the current passed is sufficiently small to maintain thermodynamic equilibrium."	
<http://purl.obolibrary.org/obo/CHMO_0000745>	"Spectroscopy where two microwave frequency pulse sequences are used to excite two electron resonance transitions and the effect of the first transition on the second is measured."	"FIX:0000172"
<http://purl.obolibrary.org/obo/CHMO_0000937>	"A plot of reflectance (%) vs. wavenumber obtained by measuring the amount of radiation reflected by a sample."	
<http://purl.obolibrary.org/obo/IAO_0000101>	"An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface."@en	
<http://purl.obolibrary.org/obo/CHMO_0002024>	"A method where the sample is first subjected to column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles and the inlet pressure is relatively high. The sample passes through two columns (anion and cation exchange) in series. The eluent is then subjected to mass spectrometry where it is ionised by interaction (electron or proton transfer) with reagent (N2, O2, H2O) gaseous ions at atmospheric pressure, and then analysed by two mass spectrometers in series."	
<http://purl.obolibrary.org/obo/CHMO_0000892>	"A nuclear magnetic resonance spectrum where the nuclei of interest are phosphorus-31 nuclei and (J/scalar) coupling patterns between protons and phosphorus-31 nuclei have been removed."	
<http://purl.obolibrary.org/obo/CHMO_0000562>	"Mass spectrometry where the sample is bombarded with a continuous focused beam of primary mass-selected ions which remove material from the surface of the sample by sputtering. The neutral atoms ejected from the sample are ionised and detected."	
<http://purl.obolibrary.org/obo/CHMO_0001248>	"A method for determining charge transport by incorporating the sample (as a thin film) into an FET. An electric field is applied to the sample (by means of the gate electrode) and the change in conductance between the source and drain electrodes is measured."	
<http://purl.obolibrary.org/obo/CHMO_0000484>	"Mass spectrometry where the sample is ionised by directing charged solvent droplets (which are formed by forcing the solvent through a small heated capillary into an electric field) at the sample surface. The droplets form a thin film on the sample surface, dissolving the analyte of interest."	
<http://purl.obolibrary.org/obo/CHMO_0000627>	"Spectroscopy using short pulses of radiation from the terahertz range (1 millimetre to 100 micrometres)."	
<http://purl.obolibrary.org/obo/OBI_0001472>	"A specimen for which it is known whether it has been subjected to storage of a specified type."@en	
<http://purl.obolibrary.org/obo/OBI_0000070>	"A planned process that has the objective to produce information about a material entity (the evaluant) by examining it."@en	
<http://purl.obolibrary.org/obo/CHMO_0000129>	"Microscopy where a probe vibrating at its resonant frequency is scanned over the specimen. An image of the surface is obtained by mechanically moving the probe in a raster scan of the specimen, line by line, and recording the resonant frequency (or the amplitude of vibration) of the tip as a function of position. A feedback loop is used to maintain a fixed relationship between the probe and surface during scanning."	
<http://purl.obolibrary.org/obo/CHMO_0001146>	"A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the 13C nuclei to which they are covalently bound."	
<http://purl.obolibrary.org/obo/CHMO_0001263>	"Any method where a sample mixture is first chemically degraded by heating then separated by column chromatography where the mobile phase is a gas, then the absorption of radiation from the infrared region by the sample is measured."	
<http://purl.obolibrary.org/obo/CHMO_0000144>	"A method for determining structure by directing a beam of high energy (10–200 keV) electrons at the sample and recording the resulting diffraction pattern."	
<http://purl.obolibrary.org/obo/CHMO_0001207>	"An NMR experiment where the selective excitation of central and satellite transitions during magic angle spinning is used for recording high-resolution NMR spectra of quadrupolar nuclei in solids. Satellite transitions are detected first, followed by central transitions."	
<http://purl.obolibrary.org/obo/CHMO_0002529>	"A piece of apparatus, consisting of an eyepiece, an objective lens, a condenser lens, stage, and light source, which collects electromagnetic radiation in the visible range. The specimen is illuminated with visible light transmitted from a source on the opposite side of the specimen from the objective."	
<http://purl.obolibrary.org/obo/CHMO_0002330>	"A synthesis method where a substrate is placed in a heated atmosphere (600–800 °C) and exposed to one or more volatile precursors, which react or decompose on the surface to produce a deposit."	
<http://purl.obolibrary.org/obo/CHMO_0000874>	"Conductive AFM is used for collecting simultaneous topography imaging and current imaging. Specifically, standard conductive AFM operates in contact AFM mode. Variations in surface conductivity can be distinguished using this mode. Conductive AFM operates in contact AFM mode by using a conductive AFM tip. The contact tip is scanned in contact with the sample surface. Just like contact AFM, the feedback loop uses the DC cantilever deflection signal to maintain a constant force between the tip and the sample to generate the topography image. At the same time, a DC bias is applied to the tip. The sample is held at ground potential."	
<http://purl.obolibrary.org/obo/CHMO_0001116>	"The measurement of cell current, whilst the potential difference between the indicator and reference electrodes is controlled, associated with the ion transfer across the interface between two immiscible electrolyte solutions (ITIES)."	
<http://purl.obolibrary.org/obo/CHMO_0002783>	"A gaseous environment in which an experiment takes place. This may be unreactive in order to prevent unintended reactions or reactive (for example gaseous hydrogen) to promote reactions."	
<http://purl.obolibrary.org/obo/CHMO_0001516>	"The chemical degradation of a sample caused by spraying it, as a liquid mixture, onto a heated substrate."	
<http://purl.obolibrary.org/obo/CHMO_0001776>	"A method for determining the extent of intrinsic and process-induced defects in the  crystalline layers within  semiconductor devices. Defects arising from impurities, grain boundaries, interfaces, etc. result in the creation of traps that capture free electrons and holes. By monitoring the differential of the capacitance produced by applying a voltage pulse to the semiconductor junction at constant different temperatures, spectra are generated that exhibit peaks, the height of which are proportional to the height of which are proportional to time constant for the emission rate."	
<http://purl.obolibrary.org/obo/CHMO_0002197>	"A process that involves improving the adhesion properties of a sample using short pulses of a plasma (a partially ionised gas containing free electrons and radicals)."	
<http://purl.obolibrary.org/obo/CHMO_0001019>	"A separation method where colloidal particles move at different speeds according to their electrophoretic mobilities in a separation medium, across which an electric field is applied."	"sep:00140"
<http://purl.obolibrary.org/obo/CHMO_0001825>	"An image obtained by illuminating the specimen with visible light, and using a system of magnifying lenses."	
<http://purl.obolibrary.org/obo/CHMO_0002435>	"The measurement of the intensity of the light resulting from the interference of two lasers of the same wavelength."	
<http://purl.obolibrary.org/obo/CHMO_0001038>	"Electrokinetic chromatography where the movement of the mobile phase through a capillary is achieved by electroosmotic flow. The retention time is determined by a combination of electrophoretic migration and chromatographic retention."	
<http://purl.obolibrary.org/obo/CHMO_0000971>	"An open-tubular column in which a layer of porous particles deposited from a suspension coats the inner wall and serves as a support for a liquid stationary phase."	
<http://purl.obolibrary.org/obo/CHMO_0001397>	"A synthesis technique that uses mechanical deformation to transfer a pattern to a substrate. A solution of resist (a thermoplastic polymer) is deposited on the substrate by spin coating. A stamp containing the desired (nanosized) pattern on its surface is placed on the substrate. A roller, heated to the glass transition temperature of the resist, is then used to press the stamp into the resist. The resist is cooled and any residual resist in the cast area is removed by an anisotropic etching process such as reactive ion etching."	
